City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
662,Antalaha,MG,78.13,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
677,Bubaque,GW,76.21,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
678,Aden,YE,76.75,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
693,Sijunjung,ID,82.4,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
700,Banjar,ID,87.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
706,Ternate,ID,82.71,light rain,0.8,127.4,Sahid Bela Ternate Hotel
711,Pedernales,DO,75.2,few clouds,18.0384,-71.744,Hotel Costa Marina
713,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
720,Kathu,TH,89.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
724,Qiongshan,CN,76.98,broken clouds,20.0058,110.3542,Sun City Restaurant
728,Kavaratti,IN,77.86,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
